tiempo,origen_ip,origen_mac,destino_ip,destino_mac,modo
23:42:42,192.168.1.105,f4:b7:e2:f2:ac:19,192.168.1.1,ff:ff:ff:ff:ff:ff,1
23:42:52,192.168.1.105,f4:b7:e2:f2:ac:19,192.168.1.1,ff:ff:ff:ff:ff:ff,1
23:43:02,192.168.1.105,f4:b7:e2:f2:ac:19,192.168.1.1,ff:ff:ff:ff:ff:ff,1
23:43:04,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.129,f8:1a:67:d6:19:f4,1
23:43:32,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:43:33,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:43:35,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:43:39,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:43:40,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:43:41,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.129,f8:1a:67:d6:19:f4,1
23:43:41,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:43:46,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:43:47,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:43:48,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:43:53,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:43:54,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:43:55,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:00,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:01,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:02,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:07,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:08,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:09,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:14,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:15,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:16,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:18,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.129,f8:1a:67:d6:19:f4,1
23:44:21,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:22,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:23,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.115,ff:ff:ff:ff:ff:ff,1
23:44:23,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:28,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:29,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:30,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:35,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:36,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:37,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:42,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:43,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:44,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:49,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:50,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
23:44:51,192.168.1.1,a4:2b:b0:d7:3a:8e,192.168.1.105,ff:ff:ff:ff:ff:ff,1
