tiempo,simbolo,probabilidad,informacion,cantidad de paquetes,entropia
01:48:08,192.168.1.1,1.0,-,2,-
01:49:24,192.168.1.1,1.0,-,6,-
01:50:41,192.168.1.1,1.0,-,9,-
01:51:57,192.168.1.1,1.0,-,13,-
01:53:08,192.168.1.1,1.0,-,16,-
01:54:10,192.168.1.1,1.0,-,20,-
01:55:31,192.168.1.1,1.0,-,24,-
01:56:53,192.168.1.1,1.0,-,27,-
01:58:31,192.168.1.1,1.0,-,32,-
01:59:58,192.168.1.1,1.0,-,34,-
02:01:25,192.168.1.1,1.0,-,37,-
02:02:52,192.168.1.1,1.0,-,39,-
02:04:20,192.168.1.1,1.0,-,42,-
02:05:48,192.168.1.1,1.0,-,44,-
02:07:16,192.168.1.1,1.0,-,47,-
02:08:35,192.168.1.1,1.0,-,49,-
02:09:45,192.168.1.1,1.0,-,53,-
02:10:55,192.168.1.1,1.0,-,55,-
02:12:05,192.168.1.1,1.0,-,58,-
02:13:29,192.168.1.1,1.0,-,60,-
02:15:06,192.168.1.1,1.0,-,63,-
02:16:43,192.168.1.1,1.0,-,66,-
02:18:13,192.168.1.1,1.0,-,68,-
02:19:39,192.168.1.1,1.0,-,71,-
02:20:57,192.168.1.1,1.0,-,73,-
02:22:10,192.168.1.1,1.0,-,76,-
02:23:34,192.168.1.1,1.0,-,79,-
02:24:40,192.168.1.1,1.0,-,82,-
02:25:45,192.168.1.1,1.0,-,84,-
02:26:51,192.168.1.1,1.0,-,87,-
02:27:56,192.168.1.1,1.0,-,90,-
02:29:23,192.168.1.1,1.0,-,94,-
02:30:50,192.168.1.1,1.0,-,96,-
02:32:17,192.168.1.1,1.0,-,98,-
02:33:43,192.168.1.1,1.0,-,101,-
02:34:47,192.168.1.1,1.0,-,103,-
02:35:51,192.168.1.1,1.0,-,105,-
02:36:55,192.168.1.1,1.0,-,108,-
02:38:00,192.168.1.1,1.0,-,110,-
02:39:24,192.168.1.1,1.0,-,112,-
02:40:56,192.168.1.1,1.0,-,115,-
02:42:24,192.168.1.1,1.0,-,117,-
02:43:50,192.168.1.1,1.0,-,120,-
02:45:14,192.168.1.1,1.0,-,122,-
02:46:38,192.168.1.1,1.0,-,125,-
02:48:02,192.168.1.1,1.0,-,127,-
02:49:17,192.168.1.1,1.0,-,130,-
02:50:24,192.168.1.1,1.0,-,132,-
02:51:24,192.168.1.1,1.0,-,135,-
02:52:37,192.168.1.1,1.0,-,138,-
02:53:50,192.168.1.1,1.0,-,140,-
02:55:03,192.168.1.1,1.0,-,143,-
02:56:16,192.168.1.1,1.0,-,146,-
02:57:24,192.168.1.1,1.0,-,148,-
02:58:50,192.168.1.1,1.0,-,151,-
03:00:16,192.168.1.1,1.0,-,154,-
03:01:43,192.168.1.1,1.0,-,157,-
03:03:10,192.168.1.1,1.0,-,159,-
03:04:13,192.168.1.1,1.0,-,163,-
03:05:16,192.168.1.1,1.0,-,166,-
03:06:19,192.168.1.1,1.0,-,169,-
03:07:22,192.168.1.1,1.0,-,173,-
03:08:45,192.168.1.1,1.0,-,176,-
03:10:05,192.168.1.1,1.0,-,179,-
03:11:26,192.168.1.1,1.0,-,181,-
03:12:47,192.168.1.1,1.0,-,184,-
03:14:17,192.168.1.1,1.0,-,186,-
03:15:24,192.168.1.1,1.0,-,188,-
03:16:33,192.168.1.1,1.0,-,190,-
03:18:03,192.168.1.1,1.0,-,192,-
03:19:12,192.168.1.1,1.0,-,194,-
03:20:12,192.168.1.1,1.0,-,197,-
03:21:25,192.168.1.1,1.0,-,201,-
03:22:42,192.168.1.1,1.0,-,205,-
03:23:54,192.168.1.1,1.0,-,207,-
03:25:32,192.168.1.1,1.0,-,210,-
03:27:10,192.168.1.1,1.0,-,212,-
03:28:47,192.168.1.1,1.0,-,215,-
03:30:12,192.168.1.1,1.0,-,217,-
03:31:37,192.168.1.1,1.0,-,220,-
03:33:02,192.168.1.1,1.0,-,222,-
03:34:10,192.168.1.1,1.0,-,225,-
03:35:27,192.168.1.1,1.0,-,228,-
03:36:45,192.168.1.1,1.0,-,232,-
03:38:02,192.168.1.1,1.0,-,235,-
03:39:23,192.168.1.1,1.0,-,237,-
03:40:43,192.168.1.1,1.0,-,240,-
03:42:04,192.168.1.1,1.0,-,242,-
03:43:28,192.168.1.1,1.0,-,245,-
03:44:54,192.168.1.1,1.0,-,247,-
03:46:20,192.168.1.1,1.0,-,250,-
03:47:45,192.168.1.1,1.0,-,253,-
03:49:01,192.168.1.1,1.0,-,256,-
03:50:07,192.168.1.1,1.0,-,259,-
03:51:13,192.168.1.1,1.0,-,262,-
03:52:19,192.168.1.1,1.0,-,265,-
03:53:41,192.168.1.1,1.0,-,267,-
03:55:19,192.168.1.1,1.0,-,270,-
03:56:57,192.168.1.1,1.0,-,272,-
03:58:35,192.168.1.1,1.0,-,275,-
03:59:50,192.168.1.1,1.0,-,277,-
04:01:06,192.168.1.1,1.0,-,280,-
04:02:21,192.168.1.1,1.0,-,282,-
04:03:37,192.168.1.1,1.0,-,285,-
04:05:04,192.168.1.1,1.0,-,288,-
04:06:26,192.168.1.1,1.0,-,291,-
04:07:30,192.168.1.1,1.0,-,294,-
04:08:43,192.168.1.1,1.0,-,296,-
04:10:11,192.168.1.1,1.0,-,299,-
04:11:39,192.168.1.1,1.0,-,301,-
04:13:07,192.168.1.1,1.0,-,304,-
04:14:29,192.168.1.1,1.0,-,306,-
04:15:46,192.168.1.1,1.0,-,309,-
04:17:02,192.168.1.1,1.0,-,311,-
04:18:15,192.168.1.1,1.0,-,313,-
04:19:40,192.168.1.1,1.0,-,317,-
04:21:01,192.168.1.1,1.0,-,319,-
04:22:16,192.168.1.1,1.0,-,322,-
04:23:50,192.168.1.1,1.0,-,325,-
04:25:26,192.168.1.1,1.0,-,328,-
04:27:02,192.168.1.1,1.0,-,331,-
04:28:39,192.168.1.1,1.0,-,334,-
04:30:16,192.168.1.1,1.0,-,336,-
04:31:54,192.168.1.1,1.0,-,339,-
04:33:17,192.168.1.1,1.0,-,341,-
04:34:39,192.168.1.1,1.0,-,344,-
04:35:46,192.168.1.1,1.0,-,346,-
04:36:54,192.168.1.1,1.0,-,349,-
04:38:01,192.168.1.1,1.0,-,351,-
04:39:05,192.168.1.1,1.0,-,353,-
04:40:06,192.168.1.1,1.0,-,356,-
04:41:07,192.168.1.1,1.0,-,358,-
04:42:09,192.168.1.1,1.0,-,360,-
04:43:10,192.168.1.1,1.0,-,363,-
04:44:17,192.168.1.1,1.0,-,365,-
04:45:24,192.168.1.1,1.0,-,367,-
04:46:30,192.168.1.1,1.0,-,370,-
04:47:37,192.168.1.1,1.0,-,373,-
04:48:44,192.168.1.1,1.0,-,376,-
04:50:07,192.168.1.1,1.0,-,379,-
04:51:26,192.168.1.1,1.0,-,382,-
04:52:53,192.168.1.1,1.0,-,386,-
04:54:16,192.168.1.1,1.0,-,389,-
04:55:40,192.168.1.1,1.0,-,393,-
04:57:03,192.168.1.1,1.0,-,396,-
04:58:27,192.168.1.1,1.0,-,400,-
04:59:38,192.168.1.1,1.0,-,403,-
05:00:49,192.168.1.1,1.0,-,407,-
05:02:01,192.168.1.1,1.0,-,410,-
05:03:12,192.168.1.1,1.0,-,413,-
05:04:16,192.168.1.1,1.0,-,416,-
05:05:21,192.168.1.1,1.0,-,418,-
05:06:25,192.168.1.1,1.0,-,420,-
05:07:30,192.168.1.1,1.0,-,423,-
05:08:49,192.168.1.1,1.0,-,425,-
05:10:23,192.168.1.1,1.0,-,428,-
05:11:58,192.168.1.1,1.0,-,430,-
05:13:32,192.168.1.1,1.0,-,433,-
05:14:32,192.168.1.1,1.0,-,436,-
05:15:33,192.168.1.1,1.0,-,440,-
05:16:33,192.168.1.1,1.0,-,444,-
05:17:33,192.168.1.1,1.0,-,447,-
05:18:55,192.168.1.1,1.0,-,452,-
05:20:18,192.168.1.1,1.0,-,454,-
05:21:27,192.168.1.1,1.0,-,457,-
05:23:03,192.168.1.1,1.0,-,460,-
05:24:06,192.168.1.1,1.0,-,462,-
05:25:13,192.168.1.1,1.0,-,466,-
05:26:19,192.168.1.1,1.0,-,469,-
05:27:25,192.168.1.1,1.0,-,472,-
05:28:31,192.168.1.1,1.0,-,476,-
05:30:05,192.168.1.1,1.0,-,478,-
05:31:40,192.168.1.1,1.0,-,481,-
05:33:14,192.168.1.1,1.0,-,483,-
05:34:28,192.168.1.1,1.0,-,486,-
05:35:48,192.168.1.1,1.0,-,489,-
05:37:09,192.168.1.1,1.0,-,493,-
05:38:29,192.168.1.1,1.0,-,496,-
05:39:52,192.168.1.1,1.0,-,500,-
05:41:15,192.168.1.1,1.0,-,503,-
05:42:27,192.168.1.1,1.0,-,506,-
05:43:33,192.168.1.1,1.0,-,509,-
05:44:39,192.168.1.1,1.0,-,512,-
05:45:44,192.168.1.1,1.0,-,517,-
05:46:50,192.168.1.1,1.0,-,520,-
05:47:56,192.168.1.1,1.0,-,523,-
05:49:20,192.168.1.1,1.0,-,527,-
05:50:23,192.168.1.1,1.0,-,529,-
05:51:26,192.168.1.1,1.0,-,531,-
05:52:28,192.168.1.1,1.0,-,534,-
05:53:31,192.168.1.1,1.0,-,536,-
05:54:35,192.168.1.1,1.0,-,539,-
05:55:39,192.168.1.1,1.0,-,541,-
05:56:44,192.168.1.1,1.0,-,543,-
05:57:48,192.168.1.1,1.0,-,546,-
05:58:52,192.168.1.1,1.0,-,548,-
06:00:06,192.168.1.1,1.0,-,551,-
06:01:19,192.168.1.1,1.0,-,555,-
06:02:33,192.168.1.1,1.0,-,558,-
06:03:47,192.168.1.1,1.0,-,562,-
06:04:55,192.168.1.1,1.0,-,565,-
06:06:04,192.168.1.1,1.0,-,568,-
06:07:13,192.168.1.1,1.0,-,572,-
06:08:22,192.168.1.1,1.0,-,575,-
06:09:25,192.168.1.1,1.0,-,578,-
06:10:26,192.168.1.1,1.0,-,582,-
