tiempo,origen_ip,origen_mac,destino_ip,destino_mac,modo
21:16:18,192.168.1.1,d8:5d:4c:a2:ac:50,192.168.1.107,ff:ff:ff:ff:ff:ff,1
21:16:18,192.168.1.1,d8:5d:4c:a2:ac:50,192.168.1.107,ff:ff:ff:ff:ff:ff,2
21:16:18,192.168.1.107,e0:b9:a5:59:41:b8,192.168.1.1,d8:5d:4c:a2:ac:50,1
21:16:25,192.168.1.1,d8:5d:4c:a2:ac:50,192.168.1.100,ff:ff:ff:ff:ff:ff,1
21:16:25,192.168.1.1,d8:5d:4c:a2:ac:50,192.168.1.100,ff:ff:ff:ff:ff:ff,2
21:16:25,192.168.1.100,e8:15:0e:18:9a:c8,192.168.1.1,ff:ff:ff:ff:ff:ff,1
21:16:25,192.168.1.100,e8:15:0e:18:9a:c8,192.168.1.1,ff:ff:ff:ff:ff:ff,2
21:20:21,192.168.1.108,e8:15:0e:67:20:34,192.168.1.1,ff:ff:ff:ff:ff:ff,1
21:20:21,192.168.1.108,e8:15:0e:67:20:34,192.168.1.1,ff:ff:ff:ff:ff:ff,2
21:24:37,0.0.0.0,90:4c:e5:2c:d5:f1,192.168.1.101,ff:ff:ff:ff:ff:ff,1
21:24:37,0.0.0.0,90:4c:e5:2c:d5:f1,192.168.1.101,ff:ff:ff:ff:ff:ff,2
21:24:38,0.0.0.0,90:4c:e5:2c:d5:f1,192.168.1.101,ff:ff:ff:ff:ff:ff,1
21:24:38,0.0.0.0,90:4c:e5:2c:d5:f1,192.168.1.101,ff:ff:ff:ff:ff:ff,2
21:24:38,192.168.1.101,90:4c:e5:2c:d5:f1,192.168.1.1,ff:ff:ff:ff:ff:ff,1
21:24:38,192.168.1.101,90:4c:e5:2c:d5:f1,192.168.1.1,ff:ff:ff:ff:ff:ff,2
21:24:39,0.0.0.0,90:4c:e5:2c:d5:f1,192.168.1.101,ff:ff:ff:ff:ff:ff,1
21:24:39,0.0.0.0,90:4c:e5:2c:d5:f1,192.168.1.101,ff:ff:ff:ff:ff:ff,2
21:24:40,192.168.1.101,90:4c:e5:2c:d5:f1,192.168.1.1,ff:ff:ff:ff:ff:ff,1
21:24:40,192.168.1.101,90:4c:e5:2c:d5:f1,192.168.1.1,ff:ff:ff:ff:ff:ff,2
21:26:20,192.168.1.1,d8:5d:4c:a2:ac:50,192.168.1.107,ff:ff:ff:ff:ff:ff,1
21:26:20,192.168.1.1,d8:5d:4c:a2:ac:50,192.168.1.107,ff:ff:ff:ff:ff:ff,2
21:26:20,192.168.1.107,e0:b9:a5:59:41:b8,192.168.1.1,d8:5d:4c:a2:ac:50,1
21:26:20,192.168.1.1,d8:5d:4c:a2:ac:50,192.168.1.107,ff:ff:ff:ff:ff:ff,1
21:26:20,192.168.1.1,d8:5d:4c:a2:ac:50,192.168.1.107,ff:ff:ff:ff:ff:ff,2
21:26:20,192.168.1.107,e0:b9:a5:59:41:b8,192.168.1.1,d8:5d:4c:a2:ac:50,1
21:26:20,192.168.1.1,d8:5d:4c:a2:ac:50,192.168.1.107,ff:ff:ff:ff:ff:ff,1
